red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.365,365,635,516,0,0
trooper.py,domination/agent.py,0.497,497,503,38,0,0
trooper.py,domination/agent.py,0.489,489,511,36,0,0
trooper.py,domination/agent.py,0.49,490,510,21,0,0
trooper.py,domination/agent.py,0.473,473,527,52,0,0
trooper.py,domination/agent.py,0.489,489,511,93,0,0
trooper.py,domination/agent.py,0.477,477,523,33,0,0
trooper.py,domination/agent.py,0.496,496,504,33,0,0
trooper.py,domination/agent.py,0.499,499,501,28,0,0
trooper.py,domination/agent.py,0.485,485,515,40,0,0
domination/agent.py,trooper.py,0.505,505,495,17,0,0
domination/agent.py,trooper.py,0.501,501,499,15,0,0
domination/agent.py,trooper.py,0.5,500,500,11,0,0
domination/agent.py,trooper.py,0.5,500,500,3,0,0
domination/agent.py,trooper.py,0.513,513,487,22,0,0
domination/agent.py,trooper.py,0.5,500,500,9,0,0
domination/agent.py,trooper.py,0.501,501,499,10,0,0
domination/agent.py,trooper.py,0.499,499,501,9,0,0
domination/agent.py,trooper.py,0.499,499,501,9,0,0
domination/agent.py,trooper.py,0.5,500,500,8,0,0
