red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
tournament1/t2v4.py,tournament1/t5v2.py,0.28,280,720,600,110,47
tournament1/t2v4.py,tournament1/t6v6.py,0.0,0,1000,378,45,45
tournament1/t3v4.py,tournament1/t4v6.py,1.0,1000,0,595,69,78
tournament1/t3v4.py,tournament1/t5v2.py,0.928,928,72,600,72,1
tournament1/t3v4.py,tournament1/t6v6.py,0.215,215,785,600,36,64
tournament1/t4v6.py,tournament1/t5v2.py,0.555,555,445,600,80,47
tournament1/t4v6.py,tournament1/t6v6.py,0.0,0,1000,394,50,42
tournament1/t5v2.py,tournament1/t6v6.py,0.159,159,841,600,53,83
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,199,20,30
tournament1/t1v2.py,tournament1/t3v4.py,0.931,931,69,600,66,40
tournament1/t1v2.py,tournament1/t4v6.py,0.0,0,1000,567,29,89
tournament1/t1v2.py,tournament1/t5v2.py,1.0,1000,0,496,80,39
tournament1/t1v2.py,tournament1/t6v6.py,0.588,588,412,600,47,61
tournament1/t2v4.py,tournament1/t3v4.py,0.0,0,1000,563,78,64
tournament1/t2v4.py,tournament1/t4v6.py,0.0,0,1000,296,27,48
tournament1/t2v4.py,tournament1/t5v2.py,0.159,159,841,600,82,66
tournament1/t2v4.py,tournament1/t6v6.py,0.0,0,1000,542,62,62
tournament1/t3v4.py,tournament1/t4v6.py,0.415,415,585,600,47,87
tournament1/t3v4.py,tournament1/t5v2.py,0.5,500,500,600,58,43
tournament1/t3v4.py,tournament1/t6v6.py,0.764,764,236,600,47,62
tournament1/t4v6.py,tournament1/t5v2.py,1.0,1000,0,305,46,29
tournament1/t4v6.py,tournament1/t6v6.py,0.0,0,1000,300,44,36
tournament1/t5v2.py,tournament1/t6v6.py,0.0,0,1000,406,38,55
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,177,36,12
tournament1/t1v2.py,tournament1/t3v4.py,0.922,922,78,600,104,41
tournament1/t1v2.py,tournament1/t4v6.py,0.446,446,554,600,49,99
tournament1/t1v2.py,tournament1/t5v2.py,0.0,0,1000,436,30,38
tournament1/t1v2.py,tournament1/t6v6.py,0.52,520,480,600,58,76
tournament1/t2v4.py,tournament1/t3v4.py,0.0,0,1000,528,67,61
tournament1/t2v4.py,tournament1/t4v6.py,0.0,0,1000,390,30,51
tournament1/t2v4.py,tournament1/t5v2.py,0.0,0,1000,509,76,46
tournament1/t2v4.py,tournament1/t6v6.py,0.058,58,942,600,67,75
tournament1/t3v4.py,tournament1/t4v6.py,0.0,0,1000,327,11,61
tournament1/t3v4.py,tournament1/t5v2.py,0.738,738,262,600,75,59
tournament1/t3v4.py,tournament1/t6v6.py,0.723,723,277,600,68,71
tournament1/t4v6.py,tournament1/t5v2.py,1.0,1000,0,409,57,8
tournament1/t4v6.py,tournament1/t6v6.py,0.0,0,1000,418,42,65
tournament1/t5v2.py,tournament1/t6v6.py,0.0,0,1000,497,27,58
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,266,30,22
tournament1/t1v2.py,tournament1/t3v4.py,0.86,860,140,600,80,60
tournament1/t1v2.py,tournament1/t4v6.py,0.927,927,73,600,61,77
tournament1/t1v2.py,tournament1/t5v2.py,0.69,690,310,600,76,67
tournament1/t1v2.py,tournament1/t6v6.py,1.0,1000,0,360,43,45
tournament1/t2v4.py,tournament1/t3v4.py,0.285,285,715,600,92,58
tournament1/t2v4.py,tournament1/t4v6.py,0.0,0,1000,393,17,57
tournament1/t2v4.py,tournament1/t5v2.py,0.0,0,1000,486,55,68
tournament1/t2v4.py,tournament1/t6v6.py,0.0,0,1000,239,22,30
tournament1/t3v4.py,tournament1/t4v6.py,0.043,43,957,600,19,98
tournament1/t3v4.py,tournament1/t5v2.py,0.606,606,394,600,80,62
tournament1/t3v4.py,tournament1/t6v6.py,0.0,0,1000,197,12,25
tournament1/t4v6.py,tournament1/t5v2.py,1.0,1000,0,531,77,20
tournament1/t4v6.py,tournament1/t6v6.py,0.229,229,771,600,67,73
tournament1/t5v2.py,tournament1/t6v6.py,0.0,0,1000,224,17,35
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,228,33,29
