red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,1.0,1000,0,314,34,26
trooper.py,domination/agent.py,1.0,1000,0,326,37,30
trooper.py,domination/agent.py,1.0,1000,0,377,40,30
trooper.py,domination/agent.py,0.668,668,332,600,52,80
trooper.py,domination/agent.py,1.0,1000,0,292,33,25
trooper.py,domination/agent.py,1.0,1000,0,455,42,56
trooper.py,domination/agent.py,1.0,1000,0,375,36,34
trooper.py,domination/agent.py,0.96,960,40,600,58,71
trooper.py,domination/agent.py,1.0,1000,0,391,35,38
trooper.py,domination/agent.py,0.655,655,345,600,49,84
trooper.py,domination/agent.py,1.0,1000,0,521,46,57
trooper.py,domination/agent.py,1.0,1000,0,408,43,34
trooper.py,domination/agent.py,0.905,905,95,600,55,66
trooper.py,domination/agent.py,0.86,860,140,600,60,64
trooper.py,domination/agent.py,1.0,1000,0,355,34,38
trooper.py,domination/agent.py,1.0,1000,0,394,38,38
trooper.py,domination/agent.py,1.0,1000,0,283,30,27
trooper.py,domination/agent.py,1.0,1000,0,584,54,68
trooper.py,domination/agent.py,1.0,1000,0,492,50,55
trooper.py,domination/agent.py,1.0,1000,0,398,38,45
domination/agent.py,trooper.py,0.007,7,993,600,68,64
domination/agent.py,trooper.py,0.0,0,1000,587,76,49
domination/agent.py,trooper.py,0.238,238,762,600,84,44
domination/agent.py,trooper.py,0.818,818,182,600,113,33
domination/agent.py,trooper.py,0.336,336,664,600,75,53
domination/agent.py,trooper.py,0.0,0,1000,365,29,44
domination/agent.py,trooper.py,0.0,0,1000,435,51,40
domination/agent.py,trooper.py,0.087,87,913,600,76,52
domination/agent.py,trooper.py,0.0,0,1000,384,31,45
domination/agent.py,trooper.py,0.0,0,1000,418,39,44
domination/agent.py,trooper.py,0.448,448,552,600,88,46
domination/agent.py,trooper.py,0.37,370,630,600,80,49
domination/agent.py,trooper.py,0.0,0,1000,454,44,49
domination/agent.py,trooper.py,0.13,130,870,600,96,41
domination/agent.py,trooper.py,0.0,0,1000,576,73,53
domination/agent.py,trooper.py,0.0,0,1000,428,41,43
domination/agent.py,trooper.py,0.375,375,625,600,93,42
domination/agent.py,trooper.py,0.467,467,533,600,90,49
domination/agent.py,trooper.py,0.0,0,1000,384,27,48
domination/agent.py,trooper.py,0.0,0,1000,368,27,45
