red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.46,    460,  540,  600,71,40
trooper.py,domination/agent.py,0.65,    650,  350,  600,66,46
trooper.py,domination/agent.py,0.307,   307,  693,  600,56,56
trooper.py,domination/agent.py,0.591,   591,  409,  600,73,38
trooper.py,domination/agent.py,1.0,     1000, 0,    553,65,37
trooper.py,domination/agent.py,0.269,   269,  731,  600,64,45
trooper.py,domination/agent.py,1.0,     1000, 0,    554,59,37
trooper.py,domination/agent.py,0.787,   787,  213,  600,64,41
trooper.py,domination/agent.py,1.0,     1000, 0,    407,50,20
trooper.py,domination/agent.py,0.353,   353,  647,  600,64,35
domination/agent.py,trooper.py,0.0,     0,    1000, 532,42,52
domination/agent.py,trooper.py,0.128,   128,  872,  600,48,72
domination/agent.py,trooper.py,0.0,     0,    1000, 451,49,30
domination/agent.py,trooper.py,0.518,   518,  482,  600,72,41
domination/agent.py,trooper.py,0.0,     0,    1000, 543,54,33
domination/agent.py,trooper.py,0.468,   468,  532,  600,63,45
domination/agent.py,trooper.py,0.278,   278,  722,  600,65,44
domination/agent.py,trooper.py,0.0,     0,    1000, 408,43,25
domination/agent.py,trooper.py,0.055,   55,   945,  600,70,43
domination/agent.py,trooper.py,0.0,     0,    1000, 552,50,44
