red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.0,0,1000,577,44,83
trooper.py,domination/agent.py,0.0,0,1000,459,35,74
trooper.py,domination/agent.py,0.0,0,1000,470,37,68
trooper.py,domination/agent.py,0.0,0,1000,198,15,32
trooper.py,domination/agent.py,0.422,422,578,600,52,81
trooper.py,domination/agent.py,0.0,0,1000,383,21,66
trooper.py,domination/agent.py,0.0,0,1000,362,29,61
trooper.py,domination/agent.py,0.0,0,1000,379,31,60
trooper.py,domination/agent.py,0.0,0,1000,542,44,87
trooper.py,domination/agent.py,0.352,352,648,600,54,78
domination/agent.py,trooper.py,1.0,1000,0,292,47,21
domination/agent.py,trooper.py,1.0,1000,0,286,46,22
domination/agent.py,trooper.py,1.0,1000,0,313,48,28
domination/agent.py,trooper.py,1.0,1000,0,485,78,38
domination/agent.py,trooper.py,0.484,484,516,600,76,53
domination/agent.py,trooper.py,1.0,1000,0,520,76,38
domination/agent.py,trooper.py,1.0,1000,0,600,91,40
domination/agent.py,trooper.py,0.466,466,534,600,76,49
domination/agent.py,trooper.py,0.946,946,54,600,97,40
domination/agent.py,trooper.py,1.0,1000,0,231,38,15
