red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.248,248,752,600,75,66
trooper.py,domination/agent.py,1.0,1000,0,595,84,56
trooper.py,domination/agent.py,0.692,692,308,600,69,72
trooper.py,domination/agent.py,1.0,1000,0,381,52,41
trooper.py,domination/agent.py,1.0,1000,0,361,50,38
trooper.py,domination/agent.py,0.815,815,185,600,64,84
trooper.py,domination/agent.py,0.0,0,1000,400,41,59
trooper.py,domination/agent.py,0.253,253,747,600,71,74
trooper.py,domination/agent.py,0.0,0,1000,379,38,53
trooper.py,domination/agent.py,0.246,246,754,600,68,74
trooper.py,domination/agent.py,0.477,477,523,600,77,73
trooper.py,domination/agent.py,0.864,864,136,600,82,62
trooper.py,domination/agent.py,0.0,0,1000,497,55,69
trooper.py,domination/agent.py,0.222,222,778,600,59,87
trooper.py,domination/agent.py,0.336,336,664,600,64,80
trooper.py,domination/agent.py,0.825,825,175,600,76,76
trooper.py,domination/agent.py,0.536,536,464,600,79,70
trooper.py,domination/agent.py,0.932,932,68,600,88,57
trooper.py,domination/agent.py,0.712,712,288,600,80,74
trooper.py,domination/agent.py,0.779,779,221,600,74,70
domination/agent.py,trooper.py,0.834,834,166,600,83,67
domination/agent.py,trooper.py,1.0,1000,0,448,72,41
domination/agent.py,trooper.py,1.0,1000,0,251,38,23
domination/agent.py,trooper.py,1.0,1000,0,338,42,40
domination/agent.py,trooper.py,0.0,0,1000,517,56,70
domination/agent.py,trooper.py,1.0,1000,0,288,48,27
domination/agent.py,trooper.py,1.0,1000,0,295,36,34
domination/agent.py,trooper.py,1.0,1000,0,221,31,27
domination/agent.py,trooper.py,0.0,0,1000,565,49,82
domination/agent.py,trooper.py,1.0,1000,0,226,34,24
domination/agent.py,trooper.py,1.0,1000,0,221,34,19
domination/agent.py,trooper.py,0.406,406,594,600,84,71
domination/agent.py,trooper.py,0.07,70,930,600,63,77
domination/agent.py,trooper.py,0.0,0,1000,349,31,52
domination/agent.py,trooper.py,1.0,1000,0,462,59,51
domination/agent.py,trooper.py,1.0,1000,0,237,43,21
domination/agent.py,trooper.py,0.914,914,86,600,82,67
domination/agent.py,trooper.py,1.0,1000,0,252,41,23
domination/agent.py,trooper.py,0.0,0,1000,233,18,39
domination/agent.py,trooper.py,0.432,432,568,600,87,67
