red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.152,152,848,600,37,64
trooper.py,domination/agent.py,0.259,259,741,600,44,59
trooper.py,domination/agent.py,0.152,152,848,600,37,69
trooper.py,domination/agent.py,0.38,380,620,600,41,62
trooper.py,domination/agent.py,0.314,314,686,600,38,63
trooper.py,domination/agent.py,0.0,0,1000,327,24,32
trooper.py,domination/agent.py,0.702,702,298,600,50,53
trooper.py,domination/agent.py,0.0,0,1000,496,31,50
trooper.py,domination/agent.py,0.211,211,789,600,42,54
trooper.py,domination/agent.py,0.0,0,1000,340,18,40
domination/agent.py,trooper.py,0.782,782,218,600,62,47
domination/agent.py,trooper.py,0.464,464,536,600,57,44
domination/agent.py,trooper.py,0.201,201,799,600,48,53
domination/agent.py,trooper.py,0.028,28,972,600,44,57
domination/agent.py,trooper.py,0.144,144,856,600,47,54
domination/agent.py,trooper.py,0.694,694,306,600,58,41
domination/agent.py,trooper.py,1.0,1000,0,275,28,20
domination/agent.py,trooper.py,0.465,465,535,600,47,58
domination/agent.py,trooper.py,1.0,1000,0,530,57,36
domination/agent.py,trooper.py,1.0,1000,0,509,60,28
