red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.71,710,290,600,0,0
trooper.py,domination/agent.py,0.846,846,154,600,0,0
trooper.py,domination/agent.py,0.0,0,1000,356,0,0
trooper.py,domination/agent.py,0.457,457,543,600,0,0
trooper.py,domination/agent.py,0.396,396,604,600,0,3
trooper.py,domination/agent.py,1.0,1000,0,387,0,0
trooper.py,domination/agent.py,0.683,683,317,600,0,0
trooper.py,domination/agent.py,0.326,326,674,600,0,0
trooper.py,domination/agent.py,0.71,710,290,600,0,3
trooper.py,domination/agent.py,0.966,966,34,600,0,3
domination/agent.py,trooper.py,0.648,648,352,600,0,0
domination/agent.py,trooper.py,0.628,628,372,600,0,0
domination/agent.py,trooper.py,0.0,0,1000,287,0,0
domination/agent.py,trooper.py,0.0,0,1000,370,0,0
domination/agent.py,trooper.py,0.301,301,699,600,0,0
domination/agent.py,trooper.py,0.468,468,532,600,0,0
domination/agent.py,trooper.py,0.045,45,955,600,6,0
domination/agent.py,trooper.py,0.233,233,767,600,0,0
domination/agent.py,trooper.py,0.086,86,914,600,0,0
domination/agent.py,trooper.py,0.34,340,660,600,0,0
