red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.654,654,346,600,46,103
trooper.py,domination/agent.py,0.686,686,314,600,41,107
trooper.py,domination/agent.py,0.088,88,912,600,37,111
trooper.py,domination/agent.py,0.502,502,498,600,40,108
trooper.py,domination/agent.py,0.0,0,1000,410,23,77
trooper.py,domination/agent.py,0.378,378,622,600,36,109
trooper.py,domination/agent.py,0.364,364,636,600,37,112
trooper.py,domination/agent.py,0.243,243,757,600,43,99
trooper.py,domination/agent.py,0.673,673,327,600,43,99
trooper.py,domination/agent.py,0.656,656,344,600,45,103
domination/agent.py,trooper.py,0.824,824,176,600,107,39
domination/agent.py,trooper.py,0.696,696,304,600,115,31
domination/agent.py,trooper.py,0.615,615,385,600,114,35
domination/agent.py,trooper.py,0.545,545,455,600,104,41
domination/agent.py,trooper.py,1.0,1000,0,323,69,13
domination/agent.py,trooper.py,0.772,772,228,600,107,40
domination/agent.py,trooper.py,0.732,732,268,600,120,28
domination/agent.py,trooper.py,1.0,1000,0,511,97,31
domination/agent.py,trooper.py,0.641,641,359,600,111,39
domination/agent.py,trooper.py,0.347,347,653,600,103,42
