red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.56,560,440,600,72,64
trooper.py,domination/agent.py,0.397,397,603,600,62,76
trooper.py,domination/agent.py,0.478,478,522,600,77,53
trooper.py,domination/agent.py,0.437,437,563,600,71,71
trooper.py,domination/agent.py,0.655,655,345,600,64,70
trooper.py,domination/agent.py,0.479,479,521,600,70,67
trooper.py,domination/agent.py,0.465,465,535,600,75,58
trooper.py,domination/agent.py,0.454,454,546,600,68,67
trooper.py,domination/agent.py,0.235,235,765,600,65,62
trooper.py,domination/agent.py,0.237,237,763,600,59,79
trooper.py,domination/agent.py,1.0,1000,0,517,63,52
trooper.py,domination/agent.py,0.0,0,1000,504,65,45
trooper.py,domination/agent.py,0.656,656,344,600,67,65
trooper.py,domination/agent.py,0.379,379,621,600,69,65
trooper.py,domination/agent.py,0.0,0,1000,415,43,52
trooper.py,domination/agent.py,0.813,813,187,600,72,59
trooper.py,domination/agent.py,0.0,0,1000,473,48,57
trooper.py,domination/agent.py,1.0,1000,0,412,52,29
trooper.py,domination/agent.py,1.0,1000,0,536,71,44
trooper.py,domination/agent.py,0.534,534,466,600,72,72
domination/agent.py,trooper.py,0.536,536,464,600,61,79
domination/agent.py,trooper.py,0.76,760,240,600,69,69
domination/agent.py,trooper.py,0.744,744,256,600,67,68
domination/agent.py,trooper.py,1.0,1000,0,357,38,44
domination/agent.py,trooper.py,1.0,1000,0,467,64,48
domination/agent.py,trooper.py,0.716,716,284,600,61,75
domination/agent.py,trooper.py,0.991,991,9,600,63,77
domination/agent.py,trooper.py,1.0,1000,0,572,74,63
domination/agent.py,trooper.py,0.841,841,159,600,67,74
domination/agent.py,trooper.py,1.0,1000,0,450,51,54
domination/agent.py,trooper.py,0.688,688,312,600,58,78
domination/agent.py,trooper.py,0.698,698,302,600,66,71
domination/agent.py,trooper.py,0.72,720,280,600,67,75
domination/agent.py,trooper.py,0.327,327,673,600,68,72
domination/agent.py,trooper.py,1.0,1000,0,280,38,32
domination/agent.py,trooper.py,0.529,529,471,600,66,73
domination/agent.py,trooper.py,0.679,679,321,600,60,72
domination/agent.py,trooper.py,0.834,834,166,600,77,63
domination/agent.py,trooper.py,0.893,893,107,600,69,71
domination/agent.py,trooper.py,1.0,1000,0,494,54,61
