red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
defence_trooper.py,domination/agent.py,0.655,655,345,600,14,122
defence_trooper.py,domination/agent.py,0.633,633,367,600,15,120
defence_trooper.py,domination/agent.py,0.901,901,99,600,16,122
defence_trooper.py,domination/agent.py,0.77,770,230,600,13,127
defence_trooper.py,domination/agent.py,0.543,543,457,600,12,124
defence_trooper.py,domination/agent.py,0.898,898,102,600,16,116
defence_trooper.py,domination/agent.py,0.801,801,199,600,18,116
defence_trooper.py,domination/agent.py,0.507,507,493,600,14,123
defence_trooper.py,domination/agent.py,0.697,697,303,600,11,127
defence_trooper.py,domination/agent.py,0.666,666,334,600,12,125
domination/agent.py,defence_trooper.py,0.482,482,518,600,114,20
domination/agent.py,defence_trooper.py,0.521,521,479,600,130,13
domination/agent.py,defence_trooper.py,0.705,705,295,600,120,16
domination/agent.py,defence_trooper.py,0.716,716,284,600,133,10
domination/agent.py,defence_trooper.py,0.111,111,889,600,105,34
domination/agent.py,defence_trooper.py,0.334,334,666,600,124,15
domination/agent.py,defence_trooper.py,0.693,693,307,600,125,11
domination/agent.py,defence_trooper.py,0.403,403,597,600,130,11
domination/agent.py,defence_trooper.py,0.531,531,469,600,112,23
domination/agent.py,defence_trooper.py,0.431,431,569,600,124,14
